,z1,z2,A,r1,r2,r,r0,h,L,Q_theor,eps_theor,etha_theor
531,6,4,229.2989912757183,137.57939476543098,91.71959651028732,57.15870615058445,6.751478424823239,126.1514243796056,122.00526728516934,163663049.65616342,2.223397755688595,0.7449573890888276
532,8,7,238.8594796098692,127.3917224585969,111.4677571512723,45.81341598886666,1.8093883384555896,232.5061797557612,171.8252135766547,806437099.9306344,2.5819925163710926,0.7778790627751208
533,8,8,304.55254695673875,152.27627347836938,152.27627347836938,50.36841711093321,5.289932267482777,353.06040902002934,257.06985664582794,3437024042.129963,2.946004905307333,0.778572159032183
534,6,4,166.32393790330116,99.79436274198069,66.52957516132047,44.894555822660216,2.1771947404163607,208.53823564051623,154.89860839276173,72592275.2938061,2.4775897407693073,0.7704237759938991
535,8,6,109.8972221094537,62.79841263397354,47.09880947548015,19.24492332218285,4.445283970391724,133.94670328997182,103.69888303407416,87991425.82525784,2.0413979424076074,0.7684013733913619
536,7,8,240.2923352862496,112.13642313358314,128.15591215266645,38.453441946385816,2.6450460526940534,257.0647623917504,191.2400504485501,1984015324.5287478,2.6853968837132705,0.7775594909757398
537,8,7,95.5982921247319,50.98575579985701,44.61253632487489,16.471754492097922,1.4573610935498034,91.42455108438028,64.75491181990276,52236973.05982799,1.4956157501567267,0.7833250608565555
538,7,8,342.99641039128915,160.06499151593496,182.9314188753542,55.70271026596273,4.31743394422393,264.89070538183194,202.0495192200172,4229522338.2551475,2.7366879358413563,0.7771857971959145
539,6,7,137.78002448053007,63.59078052947542,74.18924395105465,29.586352247266543,1.696953280253824,128.28039863098655,102.22931130633188,215163698.86178616,2.0251573657867312,0.7703686846040783
540,8,8,118.40672753509202,59.20336376754601,59.20336376754601,18.875134779270404,2.9021932382689246,169.20625527148184,109.86404684351028,218507936.20159066,2.1067167684786257,0.7888341037588209
541,6,4,205.7205414347844,123.43232486087064,82.28821657391376,49.3378562628827,1.5515574189449932,231.91220428945417,157.92122755831298,189049516.9449262,2.4973460612885714,0.7831293953362077
542,7,8,166.61600923632918,77.75413764362028,88.8618715927089,27.419537586895487,1.6849392589418395,215.25408769388807,161.52773895221063,771358362.9918872,2.5202581246899087,0.7739718583428044
543,7,8,324.7030412816101,151.52808593141805,173.17495535019208,62.891240088802185,1.7868436603391178,360.4398166098616,284.28928725591595,4218481760.4020343,3.0258546179510764,0.7696172894006343
544,4,4,214.20726197634437,107.10363098817218,107.10363098817218,44.85966122191258,6.850054154228445,139.23345785291326,131.63022952378466,507732910.9802242,2.3061529728412156,0.7487163482546164
545,7,4,260.0181428217135,165.46609088654498,94.55205193516855,52.40703543810572,3.8149415629675993,214.14533323075813,146.37732624357508,289458913.8269811,2.4189889455304696,0.786367230416333
546,4,4,178.1931710085218,89.0965855042609,89.0965855042609,56.27342344513635,6.15722835386582,136.23490108202378,95.35599215740744,110280371.57750104,1.9454787849399326,0.7872415529141938
547,6,7,229.0972772155328,105.73720486870745,123.36007234682536,41.23880345798917,2.7162704930971566,151.78031377184467,137.62155383539715,1084658236.8005788,2.353882785228089,0.7549826789458314
548,8,4,309.3956506318717,206.2637670879145,103.13188354395724,63.36524577048969,8.768813287679816,327.88699562626925,234.4561492550168,446752873.7405452,2.8689835350094413,0.7760665428973629
549,6,6,204.95316990800276,102.47658495400138,102.47658495400138,33.14645804966229,6.358940645396833,157.79023590592064,152.9640322025337,837430016.6209896,2.4646700770363466,0.7437236423244148
550,8,6,242.48450655880555,138.5625751764603,103.92193138234522,42.98871913344535,9.870658185888914,164.27524066679763,129.1386885989867,535896088.7278463,2.28547933563174,0.7733004319522313
551,7,8,182.1985999246814,85.02601329818465,97.17258662649674,31.331254074690623,6.10113504509401,207.2225587452136,162.4448621632788,897934248.0675573,2.525973580513515,0.7707362975380527
552,6,6,196.85588886020884,98.42794443010443,98.42794443010443,39.453333419925876,7.726613653848856,193.83309052637665,161.9746001136822,645381485.6251633,2.523048462442401,0.7633075947082989
553,4,4,163.13956913616053,81.56978456808027,81.56978456808027,43.89530241661596,1.6263480483110542,157.78996962653275,126.40420555391574,190384467.94297653,2.262201134095459,0.7685570214627286
554,8,8,152.4970048303892,76.2485024151946,76.2485024151946,27.966321907802925,0.9800344143835008,114.915632233126,107.06922026760331,279434798.46229297,2.077654204892107,0.7495976088097726
555,7,6,162.80764592852316,87.66565549997401,75.14199042854915,28.076931794379995,1.551970527023259,157.31962566449815,144.29639840624034,351286386.4673076,2.4039865563517604,0.74844011795794
556,6,6,106.4364627343272,53.218231367163604,53.218231367163604,19.84097110321828,2.8960086811048353,66.6136569129288,56.78703435929346,61034994.628249325,1.3442000444005104,0.7637231902663026
557,6,4,206.13012227080725,123.67807336248434,82.4520489083229,56.03007000215882,4.649064161180426,179.60300504929248,159.89955489932095,112425696.08485754,2.5100014338042844,0.7528145695714186
558,4,4,212.81725888847552,106.40862944423776,106.40862944423776,36.849256165674376,6.8439324555269545,182.94864340960865,165.13984810595537,737761635.4183123,2.5425159432699753,0.7535998334573257
559,4,4,158.24313545847116,79.12156772923558,79.12156772923558,52.64950661520722,7.754800564608583,146.90264355529007,144.87999595175228,109614421.80516075,2.4082226376027425,0.7395711705526636
560,6,4,130.3419032583291,78.20514195499746,52.13676130333164,28.021335525182288,3.45419013773229,92.78083449844507,75.15560000001378,45223158.573663704,1.669084602905467,0.7683477982791745
561,7,6,202.48792943315223,109.03196200246659,93.45596743068565,35.63484044071619,6.229946061783469,231.5740029791121,186.0699945605683,722651173.018313,2.659363361196992,0.7654361596492396
562,6,5,109.27672244413868,59.605484969530195,49.67123747460849,21.839165019652306,4.036320952343264,150.74379619363808,96.09497191921088,78651912.10066888,1.9543525091709533,0.7903294582804123
563,8,7,277.7859244688526,148.15249305005472,129.6334314187979,46.95788467725485,5.795798893489763,205.30733012546796,158.64720816595565,1277987382.6288364,2.5020150561722057,0.7751367823965175
564,4,4,245.7251854841909,122.86259274209544,122.86259274209544,54.861940241776516,11.040106240839775,214.3302434447344,163.5849017655217,818959904.1610569,2.533016978819659,0.7762818099610376
565,7,8,164.27143850716152,76.66000463667538,87.61143387048614,25.1070842093037,7.108926387331436,175.64837592412567,143.60665747234484,737272449.7072212,2.3989508643199615,0.7660983249824026
566,4,4,237.4334452758017,118.71672263790084,118.71672263790084,61.30790055275111,8.383357953154151,217.90767848974485,154.87490289431358,576520122.32161,2.4774327445353412,0.7842762497684193
567,8,7,289.5838524982215,154.4447213323848,135.13913116583672,49.39564242070819,7.262616481745769,215.3300705666152,179.3137060326955,1570282420.1518764,2.6237470034155277,0.7654589437529493
568,7,6,209.9768442261912,113.06445458333373,96.91238964285748,34.34421460209013,1.8205968014888358,199.5701647519002,175.31695961719095,765167322.5881238,2.601772726325639,0.7550451356087062
569,7,8,297.0067520448324,138.6031509542551,158.4036010905773,48.32687608778416,13.582541877441548,385.61940157838,286.7730959265209,4720074129.314713,3.032542762463775,0.7759698647341657
570,8,8,102.0541299830559,51.02706499152795,51.02706499152795,18.295706986892156,0.9891721988162684,138.9047962280217,92.6704882022639,110812442.51948419,1.9125724285016172,0.7861320429136406
571,6,5,176.99558901696415,96.54304855470772,80.45254046225642,33.38827259683437,3.091548429811383,237.5219850192389,172.1227302699701,410807250.59405166,2.5836996879338407,0.7750598215847024
572,7,7,118.4073580889151,59.20367904445755,59.20367904445755,20.67077369769792,1.2723101319634218,125.33968202561312,108.36367009815076,181557436.74674672,2.0912249421455615,0.7569978027411013
573,8,8,238.98997394035945,119.49498697017972,119.49498697017972,36.6788325781344,5.1757589919941696,250.2169401581629,193.29029917348825,1725246756.3227904,2.6954429545971976,0.7726172245733126
574,7,7,345.5003161070505,172.75015805352524,172.75015805352524,59.56923263122785,3.1161484173739114,270.10787456789257,263.2822746259874,4098348931.363049,2.9653611015032704,0.7423818261985894
575,8,8,203.8841514527728,101.9420757263864,101.9420757263864,34.167923308873256,4.946372087483363,271.1179764530434,171.0860315639614,984630170.0045805,2.5777331700802777,0.7931044789741304
576,4,4,206.8628235242778,103.4314117621389,103.4314117621389,45.745338771021125,7.500256134553486,111.12327351559594,109.33257318425638,368419293.01058596,2.1012579928011714,0.7434998126573801
577,8,7,256.50718304006284,136.80383095470017,119.70335208536265,45.61438354072008,7.18750322511188,260.4432201806923,221.097906696134,1439486579.1437209,2.817958546531766,0.7597159169682616
578,8,8,254.16575361086265,127.08287680543133,127.08287680543133,38.910198255843774,6.4254234971043,251.0829662944422,213.30115722331385,2181450688.151645,2.785991692260551,0.7607076265335629
579,7,4,198.0839735980064,126.05343774418589,72.03053585382051,50.27740333362503,2.238766035847072,163.40169534413468,110.4535540525536,45298359.9822823,2.1127350091073622,0.7874985946603248
580,4,4,241.3461711331294,120.6730855665647,120.6730855665647,83.61218907517346,1.4111217117377155,249.2306566884401,209.71312679311475,267531990.7219244,2.770692437183181,0.7610250985171518
581,7,5,236.09757595538625,137.7235859739753,98.37398998141094,51.847923898923774,2.866623245621227,173.644877944898,147.39409614365616,321831503.8685391,2.426217214984357,0.7617883633117974
582,8,8,140.05277924771562,70.02638962385781,70.02638962385781,21.596051953619263,3.690567549780124,103.27306695710566,100.57604835218076,288430094.3259789,2.006561810196631,0.7432661193738546
583,7,8,212.51243937094523,99.1724717064411,113.33996766450413,31.27429345579429,5.7892785270070135,222.458672725826,212.02868760451997,1910117662.8772058,2.78060969124367,0.7438128808407678
584,7,5,239.4440444659508,139.67569260513798,99.76835186081284,44.32562983102149,7.931020194327805,214.7866851739244,184.8687764011605,642553779.43642,2.6531663986453546,0.7581531539522878
585,4,4,312.0585042227047,156.02925211135235,156.02925211135235,108.89985811071467,6.917658321548094,276.16437955092675,230.39820186311343,478327947.47241974,2.8539552693343038,0.7642679935045525
586,6,8,169.03248671107252,72.44249430474537,96.58999240632716,31.25169874792729,1.231049933245856,175.22536041466495,115.18829525128682,591877736.636379,2.159718506664348,0.7926258294840682
587,8,7,301.7011877478092,160.9073001321649,140.7938876156443,50.184849695966896,5.786620579910052,289.6005411893578,264.5004096701432,2656079894.0964375,2.969073408953886,0.7496092912230697
588,6,5,174.8823211836018,95.39035700923733,79.49196417436445,29.155625963748523,0.9883962839101195,192.7482286881642,126.1902189007665,316098545.50396496,2.260352804861596,0.7899441179993576
589,4,4,346.5228297675773,173.26141488378866,173.26141488378866,88.2883362823718,12.825334112871545,303.4252410614909,293.54611564663503,2488723340.3540077,3.0503223744851984,0.7430009034045488
